degree,n_features,train_rmse_mean,cv_rmse_mean,cv_rmse_std,cv_rmse_se,generalization_gap,mean_fit_time_sec,total_cv_time_sec
1,3,0.30071508532141805,0.30856443040371023,0.05875858694037994,0.026277638932104184,0.00784934508229218,0.003078746795654297,0.02103257179260254
2,9,0.2496529514995848,0.2682216610038822,0.04556668404502761,0.020378040606787363,0.01856870950429737,0.0034760475158691407,0.025690078735351562
3,19,0.23677025881938946,0.32680829550207563,0.06674462602149088,0.029849104183370986,0.09003803668268617,0.0026352405548095703,0.02049708366394043
4,34,0.2069617024207311,0.49394218533635226,0.3250444133753671,0.14536428080277253,0.28698048291562117,0.002695512771606445,0.019407987594604492
5,55,0.1699104230515496,2.798335884475639,3.2357274836665955,1.4470613220285695,2.6284254614240896,0.003037261962890625,0.021329879760742188
6,83,0.06869246216657901,50.028401128010856,70.76158471702692,31.645542724576483,49.959708665844275,0.0038540840148925783,0.028200387954711914
7,119,0.0232017424355474,3584.741166481199,6633.084675764226,2966.4056471041918,3584.7179647387634,0.003761434555053711,0.024602890014648438
8,164,0.023201741995483936,4638.610778427687,8499.665564208604,3801.165997516908,4638.587576685692,0.004087305068969727,0.02653956413269043
9,219,0.023201742006218995,5772.775772200466,10328.696468476788,4619.133484495223,5772.7525704584605,0.004131031036376953,0.027051210403442383
10,285,0.02320174198947401,7278.5812983346505,12720.49367056994,5688.77771095004,7278.558096592661,0.005703592300415039,0.03538250923156738
