seed,model,alpha,l1_ratio,cv_rmse_mean,cv_rmse_std,coef_l2_norm,nonzero,warning
7,Ridge,1.0,,0.291848396700864,0.0308179849947268,0.8107165605317037,285,
21,Ridge,1.0,,0.2914084686084121,0.053778189521231,0.8107165605317037,285,
42,Ridge,1.0,,0.2770179429632625,0.050714436403495,0.8107165605317037,285,
77,Ridge,1.0,,0.2847360744108526,0.0241109414457358,0.8107165605317037,285,
101,Ridge,1.0,,0.2897130959684535,0.0253336494948599,0.8107165605317037,285,
7,Lasso,0.001,,0.2887645787238123,0.0319833669705648,1.3239436428395586,16,
21,Lasso,0.001,,0.2794645471677021,0.0414882189979763,1.3239436428395586,16,
42,Lasso,0.001,,0.2702559931941616,0.051696704497775,1.3239436428395586,16,
77,Lasso,0.001,,0.2815178681678696,0.0243253351109027,1.3239436428395586,16,
101,Lasso,0.001,,0.2821936416372557,0.0217674159810171,1.3239436428395586,16,
7,ElasticNet,0.01,0.2,0.2799727629316604,0.0114611471181858,0.7427525504059207,40,
21,ElasticNet,0.01,0.2,0.2763866658754723,0.0398835083227272,0.7427525504059207,40,
42,ElasticNet,0.01,0.2,0.2691292887543602,0.0564683852310972,0.7427525504059207,40,
77,ElasticNet,0.01,0.2,0.2812970021720833,0.0207196590697529,0.7427525504059207,40,
101,ElasticNet,0.01,0.2,0.2827349554160752,0.0236512567670307,0.7427525504059207,40,
