ratio_r,c_FP,c_FN,t_theory,t_empirical,FP,FN,precision,recall,q_t,actions_per_1000,min_cost
1,1.0,1.0,0.5,0.5028,94,62,0.6544,0.7417,0.562,562.0,156.0
2,1.0,2.0,0.3333,0.4928,167,2,0.5877,0.9917,0.8368,836.8,171.0
3,1.0,3.0,0.25,0.4928,167,2,0.5877,0.9917,0.8368,836.8,173.0
5,1.0,5.0,0.1667,0.4928,167,2,0.5877,0.9917,0.8368,836.8,177.0
7,1.0,7.0,0.125,0.4928,167,2,0.5877,0.9917,0.8368,836.8,181.0
10,1.0,10.0,0.0909,0.4928,167,2,0.5877,0.9917,0.8368,836.8,187.0
15,1.0,15.0,0.0625,0.4928,167,2,0.5877,0.9917,0.8368,836.8,197.0
20,1.0,20.0,0.0476,0.4928,167,2,0.5877,0.9917,0.8368,836.8,207.0
30,1.0,30.0,0.0323,0.4928,167,2,0.5877,0.9917,0.8368,836.8,227.0
50,1.0,50.0,0.0196,0.1031,239,0,0.501,1.0,0.9897,989.7,239.0
70,1.0,70.0,0.0141,0.1031,239,0,0.501,1.0,0.9897,989.7,239.0
100,1.0,100.0,0.0099,0.1031,239,0,0.501,1.0,0.9897,989.7,239.0
