random_state,n_train,t_opt,min_cost,q_t,actions_per_1000
0,484,0.48530519756808593,186.0,0.8347107438016529,834.7107438016529
1,484,0.5028413760267061,189.0,0.7954545454545454,795.4545454545454
7,484,0.4829424209617912,189.0,0.8409090909090909,840.909090909091
21,484,0.49892577213764183,183.0,0.8057851239669421,805.7851239669421
42,484,0.4927917507969484,187.0,0.8367768595041323,836.7768595041323
99,484,0.49179138547113377,212.0,0.8429752066115702,842.9752066115702
123,484,0.48474049028197363,198.0,0.8367768595041323,836.7768595041323
2024,484,0.49291643432976173,175.0,0.8119834710743802,811.9834710743802
7777,484,0.4932907901373002,185.0,0.8326446280991735,832.6446280991735
31337,484,0.49103468538174994,196.0,0.8326446280991735,832.6446280991735
