t_low,t_high,share_B (manual),share_C (auto+),auto_FP,auto_FN,auto_cost_only
0.4982,0.5053,0.2996,0.5,73,3,103.0
0.489,0.5053,0.3492,0.5,73,2,93.0
0.4982,0.5078,0.3988,0.4008,58,3,88.0
0.4368,0.5053,0.3988,0.5,73,2,93.0
0.489,0.5078,0.4483,0.4008,58,2,78.0
0.2963,0.5053,0.4483,0.5,73,2,93.0
0.4368,0.5078,0.4979,0.4008,58,2,78.0
0.4982,0.5094,0.5,0.2996,37,3,67.0
0.2963,0.5078,0.5475,0.4008,58,2,78.0
0.489,0.5094,0.5496,0.2996,37,2,57.0
0.4982,0.5219,0.5992,0.2004,17,3,47.0
0.4368,0.5094,0.5992,0.2996,37,2,57.0
0.489,0.5219,0.6488,0.2004,17,2,37.0
0.2963,0.5094,0.6488,0.2996,37,2,57.0
0.4368,0.5219,0.6983,0.2004,17,2,37.0
0.2963,0.5219,0.7479,0.2004,17,2,37.0
